generation(kWh),power(W)
0.165,791.2939
0.241,1164.6307
0.285,1169.0139
0.396,1706.9756
0.531,2461.2034
0.903,3508.481
1.023,3700.821
1.181,5476.921
1.684,6504.731
2.792,13469.27
2.499,10466.663
4.386,17239.865
3.636,16460.254
1.617,3833.0322
0.822,3719.623
0.492,1388.7865
0.211,649.2338
0.18,846.8385
0.291,1148.4834
0.411,1457.5216
1.115,4838.97
1.627,6538.0845
1.836,7038.7554
1.81,6953.3193
2.083,7877.198
2.792,11088.589
2.84,11101.793
2.926,10687.693
2.275,9085.728
2.109,6324.2065
0.939,2961.8674
1.309,7216.0015
2.603,9927.258
2.286,8948.156
1.848,6572.2324
0.656,2570.9973
1.186,4801.963
1.732,7166.7666
1.221,4223.601
0.967,3556.559
0.598,2121.0098
0.692,2282.1206
0.362,1842.692
0.508,1652.4791
0.448,1828.6045
0.53,2063.247
0.446,1651.7689
0.314,1135.5364
0.186,636.9261
0.051,132.94821
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.074,270.98022
0.136,651.3488
0.16,648.7401
0.267,1218.9062
0.476,1726.2593
0.279,999.726
0.334,1817.6284
0.863,3063.6482
0.865,3726.5605
1.184,4980.1714
1.167,4227.195
0.83,3284.8357
0.725,2832.1482
0.868,3876.5115
0.824,2772.4958
1.128,5017.1353
1.614,5908.9844
1.806,5978.5684
2.879,11747.856
3.534,13649.799
3.167,12585.575
3.443,16039.257
1.989,6699.868
1.851,5249.0776
1.468,6021.253
1.445,5336.754
1.771,7523.034
2.844,9898.189
1.866,5622.3574
2.559,12276.318
2.516,8457.777
3.203,10716.041
3.714,17619.334
1.814,5804.9873
2.839,9954.636
2.118,7650.144
1.827,5038.307
1.313,5013.495
0.693,2705.3555
0.995,4293.5205
0.912,3706.959
1.187,3979.167
