generation(kWh),power(W)
0,39
0,0
0,0
0.014,122
0,0
0.031,180.66667
0.139,620
0.214,837
0.278,1173.3334
0.404,1679.6666
0.529,2020.3334
0.33,962
0.617,2848.6667
0.888,3313.6667
0.197,385
0.614,3855
1.5,5204.3335
1.94,8314.333
2.544,10017.333
3.32,13141
3.21,12436
3.147,12610
4.276,16829
3.783,14378
2.38,8533.333
1.786,6653
0.845,2364
0.915,3774.6667
0.885,3423.6667
1.551,5923.3335
1.755,6007
0.734,3099
2.194,9149.333
2.272,8715
1.668,6267.3335
2.235,8841.333
1.732,5820.6665
0.431,1412
0.379,1570
0.923,3628.3333
0.859,3608
1.167,5422
1.326,4621
0.588,2370.6667
0.815,3402.6667
0.67,2314.6667
0.55,1962.3334
0.418,1558.6666
0.237,758
0.004,5.3333335
0.008,34
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.013,337.33334
0.423,1669.6666
0.803,3389.6667
0.919,3966.3333
0.966,4005.6667
1.371,4817.6665
1.058,3592
0.653,2829.6667
2.247,10997.667
4.47,15517
1.272,4818.3335
2.082,9000.667
4.132,17538.334
6.869,24775
4.62,19220.666
4.064,15233
5.704,23404.666
2.905,7645.3335
0.89,3443
0.784,2759.6667
0.778,2805
0.452,1630.3334
0.512,2112.3333
0.7,2559.6667
0.59,2079.6667
0.836,4010.6667
1.454,5333.3335
0.998,3107.6667
0.833,3473.3333
1.007,3649
0.746,3090
0.771,2973.3333
0.693,3500.3333
0.793,2318.3333
0.464,1454
0.059,182
0.062,378
0.18,676.3333
0.088,408.66666
0.224,834
0.447,2099
0.35,1135.3334
0.185,559.3333
0.04,346.33334
0.054,171.66667
0,35.666668
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.021,119.666664
0.115,410.66666
0.375,1413.6666
0.312,1429.6666
0.148,568.3333
0.342,1226.3334
0.229,901
0.325,1050.6666
0.252,1410
0.412,1476.6666
0.103,57.666668
0.16,724
0.13,405
0.142,511.66666
0.118,449.66666
0.14,650
0.089,366
0.134,478.66666
0.147,596
0.078,192
0.049,247.66667
0.15,655.3333
0.182,781.3333
0.211,820.3333
0.221,865
0.284,1062.6666
0.354,1607.6666
0.52,1901.6666
0.131,398.66666
0.074,260.66666
0.109,460.33334
0.148,437.66666
0,0
0.008,85
0.066,252.66667
0,0
0.007,29
0,17
0.167,736
0.376,1475.3334
0.264,938.6667
0.172,532
0,73.333336
0.028,73.666664
0,47.666668
0,0
0,0
0.01,80.333336
0.001,22
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1.6666666
0.023,146.66667
0.054,199.33333
0.061,320
0.111,404.66666
0.125,537.3333
0.378,1540
0.569,2513.6667
0.758,3009
0.808,2869
0.392,1599.3334
0.72,3282.6667
1.291,4527.6665
0.536,2283.3333
0.479,1455.6666
0.617,2750.6667
0.583,2277.6667
0.926,3735
0.712,2504
0.243,887.3333
0.281,1119.6666
0.515,2289
0.591,2523.3333
0.553,2640
0.497,2176.3333
0.634,2429.3333
0.384,1380
0.353,1315
0.248,715.6667
0.347,1405
0.527,2262
0.643,1878.3334
0.283,1168.6666
0.451,2032.6666
0.52,1890
0.694,2843.3333
0.45,1593.3334
0.317,1337.3334
0.257,857
0.121,415.33334
0.089,328
0.093,329.66666
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.067,399.66666
0.327,1462.3334
0.752,3272
1.202,4814.6665
1.889,8231
2.214,8528.667
2.716,10887.333
3.449,12459
4.096,18154.334
4.469,16237.333
4.66,18807.666
5.44,22667.666
6.15,24066
6.654,27294.334
7.316,28861.334
6.47,23257
7.36,31051
7.551,27643.334
8.502,33067.668
8.572,33260.332
8.839,34547
9.187,36051
9.226,35727.668
9.127,35805.332
9.297,36268.668
9.747,38127.668
9.435,36361.332
9.774,38805.332
9.821,38059.668
9.685,37719
9.664,35838.668
9.428,37015.332
9.094,35462.668
8.837,34189.668
8.592,33091
8.123,31214.334
7.475,29300.334
7.366,28099.334
7.02,27048.334
6.486,24962.666
5.997,23041.666
5.477,20913.666
4.442,16535
3.459,12338.333
3.065,11440
2.064,7325.3335
1.273,4678.6665
0.897,3282.6667
0.612,2216.6667
0.341,1179.6666
0.191,648.3333
0.091,270.66666
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.002,34.666668
0.102,508.33334
0.342,1540.3334
0.616,2553.3333
0.906,3770.6667
1.287,5230.3335
1.701,7050.6665
2.398,9695.667
2.98,11912.333
3.499,14013.667
4.121,16351.333
4.693,18674.334
5.216,20529
5.819,23179
6.364,24849.666
6.758,26433.334
7.18,28079.334
7.498,29442.666
7.863,30788
8.152,31731.666
8.303,32474.666
8.55,33423
8.793,34216
9.079,35347
9.197,35627.332
9.252,36511.668
9.515,32031.334
6.007,22162
9.082,29423
9.761,37806
9.205,35578.668
9.086,34575.668
7.921,32559.334
8.92,34498.332
8.469,32600.334
8.105,31422.666
7.658,23505.334
6.285,20038.666
6.166,22113
6.215,23727.666
5.498,19134
3.177,17097.666
